bgrf_id	mimotext_id	column	text	keyword	property	concept	concept_id
57.14	Q1369	r_s	intentions moralisatrices, sensibilité, mélancolie	intentions moralisatrices	P39	morale	Q3921 
57.15	Q1370	r_s	intentions moralisatrices, sensibilité, mélancolie	intentions moralisatrices	P39	morale	Q3921 
57.3	Q1374	r_s	ton libre, fin moralisatrice	fin moralisatrice	P39	morale	Q3921 
57.9	Q1375	r_s	intentions moralisatrices (préceptes pour les jeunes gens qui entrent dans le monde)	intentions moralisatrices (préceptes pour les jeunes gens qui entrent dans le monde)	P39	morale	Q3921 
58.20	Q1382	r_s	réflexions, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
60.23	Q1410	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
61.11	Q1425	r_s	intentions édifiantes	intentions édifiantes	P39	morale	Q3921 
61.13	Q1427	r_s	but moralisateur	but moralisateur	P39	morale	Q3921 
62.23	Q1447	r_s	but moralisateur	but moralisateur	P39	morale	Q3921 
62.27	Q1448	r_s	but édifiant	but édifiant	P39	morale	Q3921 
63.12	Q1464	r_s	conte moral	conte moral	P39	morale	Q3921 
63.16	Q1466	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
63.21	Q1470	r_s	conte moral	conte moral	P39	morale	Q3921 
63.38	Q1478	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
63.40	Q1481	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
63.8	Q1487	r_s	but moralisateur, sensibilité	but moralisateur	P39	morale	Q3921 
64.21	Q1497	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
64.3	Q1502	r_s	ton moralisateur, sensibilité	ton moralisateur	P39	morale	Q3921 
64.30	Q1503	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
65.25	Q1531	r_s	intentions moralisatrices, sensibilité	intentions moralisatrices	P39	morale	Q3921 
65.30	Q1534	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
65.34	Q1537	r_s	intentions édifiantes, discussions morales	morale	P39	morale	Q3921 
65.42	Q1543	r_s	sensibilité, malheurs, intentions moralisatrices (à la manière de Prévost)	intentions moralisatrices (à la manière de Prévost)	P39	morale	Q3921 
65.45	Q1546	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
66.29	Q1572	r_s	intentions moralisatrices et pieuses	intentions moralisatrices et pieuses	P39	morale	Q3921 
66.30	Q1573	r_s	intentions moralisatrices, sensibilité	intentions moralisatrices	P39	morale	Q3921 
66.31	Q1574	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
66.36	Q1578	r_s	intentions édifiantes	intentions édifiantes	P39	morale	Q3921 
66.40	Q1582	r_s	peinture des mœurs	peinture des mœurs	P39	morale	Q3921 
67.1	Q1588	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
67.20	Q1599	r_s	intentions moralisatrices et pieuses	intentions moralisatrices et pieuses	P39	morale	Q3921 
67.41	Q1614	r_s	intentions moralisatrices, vertu, sensibilité	intentions moralisatrices	P39	morale	Q3921 
68.42	Q1656	r_s	observations morales et philosophiques	morale	P39	morale	Q3921 
68.46	Q1659	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
68.48	Q1661	r_s	intentions moralisatrices, analyse des sentiments	intentions moralisatrices	P39	morale	Q3921 
68.53	Q1666	r_s	ton satirique, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
68.5bis	Q1669	r_s	ton sentimental et moralisateur	ton sentimental et moralisateur	P39	morale	Q3921 
69.12	Q1674	r_s	intentions moralisatrices, sensibilité effrénée, mélancolie	intentions moralisatrices	P39	morale	Q3921 
69.30	Q1690	r_s	ton sensible, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
69.36	Q1695	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
69.50	Q1704	r_s	vertu, sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
69.56	Q1708	r_s	sensibilité, vertu, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
69.60	Q1711	r_s	prétentions moralisatrices, sensibilité effrénée	prétentions moralisatrices	P39	morale	Q3921 
70.14	Q1720	r_s	intentions moralisatrices, tendances réalistes	intentions moralisatrices	P39	morale	Q3921 
70.16	Q1721	r_s	allégorie morale	morale	P39	morale	Q3921 
70.22	Q1726	r_s	prétentions moralisatrices, sensibilité	prétentions moralisatrices	P39	morale	Q3921 
70.27	Q1731	r_s	intentions moralisatrices, sensibilité, mélancolie	intentions moralisatrices	P39	morale	Q3921 
70.29	Q1733	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
70.3	Q1734	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
71.20	Q1770	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
71.30	Q1777	r_s	observations morales	morale	P39	morale	Q3921 
71.37	Q1782	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
71.41	Q1785	r_s	ton léger, mais intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
71.42	Q1786	r_s	intentions édifiantes et pieuses	intentions édifiantes	P39	morale	Q3921 
72.12	Q1793	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
72.24bis	Q1803	r_s	intentions moralisatrices, réflexions édifiantes	intentions moralisatrices	P39	morale	Q3921 
72.31	Q1809	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
73.15	Q1823	r_s	critique des mœurs et observations morales	morale	P39	morale	Q3921 
73.16	Q1824	r_s	sensibilité, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
73.18	Q1826	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
73.31	Q1834	r_s	ton léger, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
74.17	Q1850	r_s	sensibilité, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
74.6	Q1864	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
75.11	Q1870	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
76.44	Q1918	r_s	prétentions moralisatrices, tendances réalistes, sensibilité	prétentions moralisatrices	P39	morale	Q3921 
77.35	Q1937	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
77.38	Q1938	r_s	sensibilité, prétentions morales (portrait du citoyen vertueux)	morale	P39	morale	Q3921 
77.52	Q1947	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
77.53	Q1948	r_s	sensibilité, vertu, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
78.31	Q1974	r_s	biographie romancée, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
78.5	Q1980	r_s	but moralisateur, ton élevé	but moralisateur	P39	morale	Q3921 
79.31	Q2000	r_s	fortes tendances réalistes, sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
80.23	Q2022	r_s	but moralisateur	but moralisateur	P39	morale	Q3921 
80.27	Q2025	r_s	réalisme du cadre, autobiographie romancée, sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
81.2	Q2045	r_s	discussions philosophiques et morales	morale	P39	morale	Q3921 
81.23	Q2048	r_s	intentions édifiantes	intentions édifiantes	P39	morale	Q3921 
81.25	Q2049	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
81.28	Q2051	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
82.13	Q2060	r_s	sensibilité, observations politiques et morales	observations politiques et morales	P39	morale	Q3921 
83.59	Q2115	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
83.8	Q2118	r_s	conclusions moralisatrices	conclusions moralisatrices	P39	morale	Q3921 
84.2	Q2126	r_s	but moralisateur	but moralisateur	P39	morale	Q3921 
84.20	Q2127	r_s	ton moralisateur	ton moralisateur	P39	morale	Q3921 
84.26	Q2133	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
84.4	Q2145	r_s	ton moralisateur	ton moralisateur	P39	morale	Q3921 
85.20	Q2168	r_s	discussions morales	morale	P39	morale	Q3921 
85.26	Q2172	r_s	thèmes moraux	thèmes moraux	P39	morale	Q3921 
85.7	Q2190	r_s	ton sentimental et moralisateur, observations des mœurs mauresques	ton sentimental et moralisateur	P39	morale	Q3921 
86.42	Q2211	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
86.43	Q2212	r_s	intentions édifiantes	intentions édifiantes	P39	morale	Q3921 
86.8	Q2230	r_s	sensibilité, prétentions moralisatrices, attaques contre les philosophes	prétentions moralisatrices	P39	morale	Q3921 
87.61	Q2262	r_s	intentions moralisatrices, sensibilité	intentions moralisatrices	P39	morale	Q3921 
88.1	Q2270	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
88.56	Q2299	r_s	prétentions moralisatrices, sensibilité	prétentions moralisatrices	P39	morale	Q3921 
88.92	Q2317	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
89.53	Q2351	r_s	ton sentimental et moralisateur	ton sentimental et moralisateur	P39	morale	Q3921 
89.57	Q2355	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
89.64	Q2359	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
89.82	Q2365	r_s	prétentions moralisatrices, sensibilité	prétentions moralisatrices	P39	morale	Q3921 
89.92	Q2370	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
90.48	Q2402	r_s	ton moralisateur	ton moralisateur	P39	morale	Q3921 
90.62	Q2413	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
94.15	Q2498	r_s	observations sur les mœurs	observations sur les mœurs	P39	morale	Q3921 
96.16	Q2529	r_s	ton sentimental et moralisateur	ton sentimental et moralisateur	P39	morale	Q3921 
