id	Spalte	text	Keyword	property	Konzept
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	sensibilité	tonality	sensibilité
68.26	r_s	ton satirique	ton satirique	tonality	satire
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	à la manière de Prévost	tonality	manière imitée (parodie)
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	mélancolie	tonality	mélancolie
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	sensibilité	tonality	sensibilité
68.34	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
68.34	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
68.36	r_s	sensibilité	sensibilité	tonality	sensibilité
68.37	r_s	sensibilité effrénée, mélancolie (’J’ai déjà trop vécu ’)	mélancolie	tonality	mélancolie
68.37	r_s	sensibilité effrénée, mélancolie (’J’ai déjà trop vécu ’)	sensibilité	tonality	sensibilité
68.38	r_s	ton satirique	ton satirique	tonality	satire
68.41	r_s	ton satirique	ton satirique	tonality	satire
68.43	r_s	ton facétieux	ton facétieux	tonality	ton léger
68.44	r_s	sensibilité larmoyante	sensibilité	tonality	sensibilité
68.5	r_s	mélancolie, sensibilité	mélancolie	tonality	mélancolie
68.5	r_s	mélancolie, sensibilité	sensibilité	tonality	sensibilité
68.53	r_s	ton satirique, intentions moralisatrices	ton satirique	tonality	satire
68.56	r_s	critique des mœurs, thèmes philosophiques	critique	tonality	critique
68.5bis	r_s	ton sentimental et moralisateur	ton sentimental	tonality	ton sentimental
68.7	r_s	sensibilité	sensibilité	tonality	sensibilité
68.8	r_s	sensibilité, vertu, intentions moralisatrices, peinture des mœurs	sensibilité	tonality	sensibilité
68.9	r_s	sensibilité	sensibilité	tonality	sensibilité
69.11	r_s	tendances réalistes	tendances réalistes	tonality	tendances réalistes
69.12	r_s	intentions moralisatrices, sensibilité effrénée, mélancolie	mélancolie	tonality	mélancolie
69.12	r_s	intentions moralisatrices, sensibilité effrénée, mélancolie	sensibilité	tonality	sensibilité
69.13	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
69.14	r_s	ton satirique	ton satirique	tonality	satire
69.2	r_s	bienfaisance, vertu, sensibilité	sensibilité	tonality	sensibilité
69.20	r_s	sensibilité	sensibilité	tonality	sensibilité
69.23	r_s	ton noble, couleur locale	couleur locale	tonality	couleur locale
69.23	r_s	ton noble, couleur locale	ton noble	tonality	style élevé
69.25	r_s	ton satirique	ton satirique	tonality	satire
69.27	r_s	ton léger	ton léger	tonality	ton léger
69.29	r_s	sensibilité passionnée	sensibilité	tonality	sensibilité
69.30	r_s	ton sensible, intentions moralisatrices	ton sensible	tonality	sensibilité
69.31	r_s	ton frivole	ton frivole	tonality	ton léger
69.35	r_s	sensibilité	sensibilité	tonality	sensibilité
69.40	r_s	peinture des mœurs et observations morales, ton satirique	ton satirique	tonality	satire
69.41	r_s	vertu, sensibilité	sensibilité	tonality	sensibilité
69.44	r_s	sensibilité	sensibilité	tonality	sensibilité
69.47	r_s	ton léger	ton léger	tonality	ton léger
69.49	r_s	ton facétieux	ton facétieux	tonality	ton léger
69.5	r_s	sensibilité	sensibilité	tonality	sensibilité
69.50	r_s	vertu, sensibilité, prétentions moralisatrices	sensibilité	tonality	sensibilité
69.51	r_s	sensibilité	sensibilité	tonality	sensibilité
69.52	r_s	ton satirique	ton satirique	tonality	satire
69.56	r_s	sensibilité, vertu, prétentions moralisatrices	sensibilité	tonality	sensibilité
69.60	r_s	prétentions moralisatrices, sensibilité effrénée	sensibilité	tonality	sensibilité
69.63	r_s	ton satirique	ton satirique	tonality	satire
69.64	r_s	ton satirique, fantaisiste	ton satirique	tonality	satire
69.64bis	r_s	sensibilité effrénée	sensibilité	tonality	sensibilité
69.65	r_s	sensibilité effrénée, analyse des sentiments	sensibilité	tonality	sensibilité
69.69	r_s	critique de l’Eglise, thèmes philosophiques	critique	tonality	critique
69.70	r_s	ton satirique	ton satirique	tonality	satire
69.72	r_s	sensibilité, tendances réalistes	tendances réalistes	tonality	tendances réalistes
69.72	r_s	sensibilité, tendances réalistes	sensibilité	tonality	sensibilité
69.9	r_s	sensibilité	sensibilité	tonality	sensibilité
70.1	r_s	ton léger	ton léger	tonality	ton léger
70.10	r_s	critique des mœurs et sensibilité mélancolique (dans les lettres)	critique	tonality	critique
70.10	r_s	critique des mœurs et sensibilité mélancolique (dans les lettres)	mélancolique	tonality	mélancolie
70.10	r_s	critique des mœurs et sensibilité mélancolique (dans les lettres)	sensibilité	tonality	sensibilité
70.14	r_s	intentions moralisatrices, tendances réalistes	tendances réalistes	tonality	tendances réalistes
70.15	r_s	sensibilité	sensibilité	tonality	sensibilité
70.16	r_s	allégorie morale	allégorie	tonality	allégorie
70.18	r_s	précisions pornographiques	précisions pornographiques	tonality	précisions pornographiques
